subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,32,63,0.31809628536868884,0.3180962853686887,0.3180962853686889,False,42,42,22.25647860477511,9.348156326667029,6.511877509393189,0.4883303411131059
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,33,65,0.27139579128695107,0.271395791286951,0.2713957912869512,False,42,42,32.87815153741485,8.93748654929934,7.408123959813657,0.33171324422843257
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,34,67,0.341297533821555,0.3412975338215549,0.34129753382155503,True,42,42,23.308712666666906,9.959486510199444,9.322393197806154,0.4075342465753425
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,35,70,0.3839539394220245,0.3839539394220244,0.38395393942202466,True,42,42,38.94045466666648,7.89280113436361,6.598845425133746,0.2994871794871795
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,36,73,0.30011484747631434,0.30011484747631423,0.3001148474763144,True,42,42,19.27651224836609,8.5561049097961,7.347839278750175,0.5652173913043478
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,37,75,0.3782780104145946,0.3782780104145944,0.37827801041459463,True,42,42,35.00540587755131,8.92928760689397,6.476286934399223,0.3523375142531357
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,38,77,0.3802449744223728,0.38024497442237265,0.38024497442237293,True,42,42,38.61187244897974,10.722400961806322,10.034278525032894,0.21325051759834368
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,39,80,0.29311091426930297,0.2931109142693029,0.2931109142693031,True,42,42,23.35460476190474,10.273731839257511,9.901539525214325,0.38974358974358975
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,40,82,0.2664586135315149,0.2664586135315148,0.266458613531515,True,42,42,31.771620952380545,10.189086919425732,9.588627109702276,0.2943396226415094
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,41,85,0.42748880097568126,0.42748880097568115,0.42748880097568137,True,42,42,114.99163718954333,6.339119174020395,5.470145475825566,0.12934631432545202
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,42,87,0.3243849169415035,0.3243849169415034,0.32438491694150356,True,42,42,43.01792800000021,7.073779532262303,6.354026401077302,0.2989786443825441
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,43,89,0.40871770242659017,0.40871770242659006,0.4087177024265903,True,42,42,46.99034914285676,10.947763277102249,12.185779725135173,0.18027210884353742
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,RtoL,1,2,-0.04908526229455047,-0.049085262294550513,-0.04908526229455043,False,42,42,22.229090666666707,8.84044898996535,8.985535902072778,0.3734290843806104
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,RtoL,2,4,0.024345322634650668,0.024345322634650644,0.02434532263465069,False,42,42,26.01331377777842,9.043799241201302,9.195768177388365,0.3548387096774194
